round,seed,cases,corpus_sha256,ocaml_passed,ocaml_failed,stage1_rust_passed,stage1_rust_failed,stage2_rust_passed,stage2_rust_failed
1,5984326,100000,245203de33233648daac578a1f39036fe2a7f352276ca4718fb75a2e487925d0,100000,0,100000,0,100000,0
2,5984327,100000,1f62c94fa72e1ae84d18325d85de6b0f2cf59fe9b90759e21766e98e4b9befe9,100000,0,100000,0,100000,0
3,5984328,100000,1d2049ddd9c09bf6c86e1dc3b6f4098d31758847dc9509cc13ad4d64c8389ae9,100000,0,100000,0,100000,0
4,5984329,100000,daeb7f369d8c67c20521d31f77e81f6f7a130b579c2463dbce0c6f08e51acd1f,100000,0,100000,0,100000,0
5,5984330,100000,caeb2e67c934fc4eb4084e87f902d2e75bdb31ba483d5839984356010e176943,100000,0,100000,0,100000,0
6,5984331,100000,70f0e7bcba28bd427c3fd5ed03ae62f69cf7fbe68e713443371b9a6c458207df,100000,0,100000,0,100000,0
7,5984332,100000,7ad4b9c2868ac2e863f0693b661cefc8da77c26506cc7abbd0d6ac24c9250ecd,100000,0,100000,0,100000,0
8,5984333,100000,f51d1e3c17bade4a09ab1604f142d789c28f045c7a649856d1f34214391306d2,100000,0,100000,0,100000,0
9,5984334,100000,834075a6412ff5caebb13cd8bd6787885d8800d58c439fe13b2a361b560cbfe7,100000,0,100000,0,100000,0
10,5984335,100000,6d8725bc542ff3ad5007afdd00fb15bf6e954e316f2b3f8ce2356b24e185c034,100000,0,100000,0,100000,0
Total,,1000000,,1000000,0,1000000,0,1000000,0
