round,seed,cases,corpus_sha256,ocaml_passed,ocaml_failed,stage1_rust_passed,stage1_rust_failed,stage2_rust_passed,stage2_rust_failed
1,5984326,100000,b6b17d66dffa6ce9734abdcb800e79dd6f7195f517d5eb65376d06bfd6053110,100000,0,100000,0,100000,0
2,5984327,100000,bed682cfe03b723423613e3e60cbd17ae4b39d13b4db9a2f902ec5d92439034e,100000,0,100000,0,100000,0
3,5984328,100000,31a454d69bbf99e98dd53d6eb7aefd7336c771b343a7e36b0e5403202fd1500b,100000,0,100000,0,100000,0
4,5984329,100000,13ebcf297abbeaa795b8a6e441e047b64daf4fc889cb47a3dcc1f55129fd700b,100000,0,100000,0,100000,0
5,5984330,100000,430eec4489bf3bd067fc9b2bfeaa3b3ae2a7fe074446c791b041b01d348da317,100000,0,100000,0,100000,0
6,5984331,100000,43910c191959037ca5ccc5e12344d224cb92aeb2a458b316861a6f72df8dd6e3,100000,0,100000,0,100000,0
7,5984332,100000,6ba43fe8633730dbb8f9b2f038c02811daa5fafc663e9f52ab797fe14c49786a,100000,0,100000,0,100000,0
8,5984333,100000,5c42a238af0a45f998f52bb0f25cebda0d7eade7013cbf04e552162d10178f99,100000,0,100000,0,100000,0
9,5984334,100000,b146130f35699684329fdd2ab084d756c96e9075d7ddb369d8119ada499a2f28,100000,0,100000,0,100000,0
10,5984335,100000,effde0023b342a1585e572cfae9ee1f93f9f6094a5adc239e860bbcbc48cdb2e,100000,0,100000,0,100000,0
Total,,1000000,,1000000,0,1000000,0,1000000,0
