benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-program,Stage-1,Median runtime,s,88.576708026,88.852323124,89.176530167,88.852323124
SBPF-program,Stage-1,Heap allocation,MiB/case,370.059423159,370.059423159,370.059423159,370.059423159
SBPF-program,Stage-2 minus Last-Use,Median runtime,s,2.852494831,2.758083900,2.790650078,2.790650078
SBPF-program,Stage-2 minus Last-Use,Heap allocation,MiB/case,8.274862211,8.274862211,8.274862211,8.274862211
SBPF-program,Stage-2 minus Borrow,Median runtime,s,0.147398970,0.156369511,0.148219383,0.148219383
SBPF-program,Stage-2 minus Borrow,Heap allocation,MiB/case,0.895576268,0.895576268,0.895576268,0.895576268
SBPF-program,Stage-2 Full,Median runtime,s,0.012515028,0.012771300,0.012215969,0.012515028
SBPF-program,Stage-2 Full,Heap allocation,MiB/case,0.096717416,0.096717416,0.096717416,0.096717416
SBPF-program,OCaml baseline,Median runtime,s,0.151179306,0.147996489,0.160406845,0.151179306
SBPF-program,OCaml baseline,Heap allocation,MiB/case,2.539450084,2.539450084,2.539450084,2.539450084
SBPF-program,Case-study baseline,Median runtime,s,0.000047628,0.000051748,0.000114484,0.000051748
SBPF-program,Case-study baseline,Heap allocation,MiB/case,unavailable,unavailable,unavailable,unavailable
SBPF-instruction,Stage-1,Median runtime,s,5.787787820,5.773615723,5.642238711,5.773615723
SBPF-instruction,Stage-1,Heap allocation,KiB/vector,963.613432292,963.613432292,963.613432292,963.613432292
SBPF-instruction,Stage-2 minus Last-Use,Median runtime,s,2.529984125,2.805563999,2.807375881,2.805563999
SBPF-instruction,Stage-2 minus Last-Use,Heap allocation,KiB/vector,569.755135417,569.755135417,569.755135417,569.755135417
SBPF-instruction,Stage-2 minus Borrow,Median runtime,s,0.151694662,0.168276802,0.163570868,0.163570868
SBPF-instruction,Stage-2 minus Borrow,Heap allocation,KiB/vector,35.540489583,35.540489583,35.540489583,35.540489583
SBPF-instruction,Stage-2 Full,Median runtime,s,0.088787176,0.093179856,0.089082259,0.089082259
SBPF-instruction,Stage-2 Full,Heap allocation,KiB/vector,21.342750000,21.342750000,21.342750000,21.342750000
SBPF-instruction,OCaml baseline,Median runtime,s,1.101820765,1.188248437,1.121931595,1.121931595
SBPF-instruction,OCaml baseline,Heap allocation,KiB/vector,295.356296875,295.356296875,295.356296875,295.356296875
SBPF-instruction,Case-study baseline,Median runtime,s,0.002857294,0.002120514,0.003508093,0.002857294
SBPF-instruction,Case-study baseline,Heap allocation,KiB/vector,unavailable,unavailable,unavailable,unavailable
