benchmark,implementation,metric,unit,run_1,run_2,run_3,median
x64-stepper,Stage-1,Median runtime,s,0.034350315,0.034177837,0.033913954,0.034177837
x64-stepper,Stage-1,Heap allocation,KiB/step,9.818316406,9.818316406,9.818316406,9.818316406
x64-stepper,Stage-2 minus Last-Use,Median runtime,s,0.019877826,0.020410258,0.018284961,0.019877826
x64-stepper,Stage-2 minus Last-Use,Heap allocation,KiB/step,5.056404948,5.056404948,5.056404948,5.056404948
x64-stepper,Stage-2 minus Borrow,Median runtime,s,0.016241328,0.016405661,0.013170317,0.016241328
x64-stepper,Stage-2 minus Borrow,Heap allocation,KiB/step,3.882019531,3.882019531,3.882019531,3.882019531
x64-stepper,Stage-2 Full,Median runtime,s,0.011921877,0.011578166,0.009346562,0.011578166
x64-stepper,Stage-2 Full,Heap allocation,KiB/step,2.742649740,2.742649740,2.742649740,2.742649740
x64-stepper,OCaml baseline,Median runtime,s,0.622871049,0.613594685,0.625063633,0.622871049
x64-stepper,OCaml baseline,Heap allocation,KiB/step,491.115390625,491.115390625,491.115390625,491.115390625
x64-stepper,Native x64 baseline,Median runtime,s,0.038297277,0.036242034,0.037953125,0.037953125
x64-stepper,Native x64 baseline,Heap allocation,KiB/step,unavailable,unavailable,unavailable,unavailable
